Month,Average USD/GBP=,Min USD/GBP=,Max USD/GBP=,Nb of working days
1/1956,0.359317,0.359055,0.359689,22
12/1955,0.359122,0.358435,0.35985100000000003,22
11/1955,0.35891799999999996,0.358496,0.359567,22
10/1955,0.359551,0.35937399999999997,0.359781,21
9/1955,0.360414,0.359619,0.361112,22
8/1955,0.360369,0.360003,0.360794,23
7/1955,0.360562,0.359635,0.360942,21
6/1955,0.359601,0.358719,0.360313,22
5/1955,0.358275,0.357585,0.35894699999999996,22
4/1955,0.356921,0.356404,0.357394,21
3/1955,0.35634499999999997,0.35576199999999997,0.35666,23
2/1955,0.35701,0.356055,0.357185,20
1/1955,0.35736599999999996,0.35684299999999997,0.357704,21
12/1954,0.35705,0.35686999999999997,0.357171,23
11/1954,0.356745,0.3566,0.35696500000000003,22
10/1954,0.357149,0.356638,0.357603,21
9/1954,0.357655,0.35723,0.358007,22
8/1954,0.358099,0.357852,0.358313,22
7/1954,0.358113,0.35765399999999997,0.358475,22
6/1954,0.357592,0.35726399999999997,0.357767,22
5/1954,0.357231,0.356597,0.357599,21
4/1954,0.357612,0.357143,0.358056,22
3/1954,0.35852399999999995,0.358117,0.358729,23
2/1954,0.35890500000000003,0.358637,0.359066,20
1/1954,0.35933400000000004,0.358852,0.35962,21
12/1953,0.359078,0.358423,0.359681,23
11/1953,0.358607,0.358362,0.35891300000000004,21
10/1953,0.359068,0.35888200000000003,0.35934299999999997,22
9/1953,0.359286,0.358668,0.359651,22
8/1953,0.358971,0.358545,0.359097,16
