Month,Average USD/GBP=,Min USD/GBP=,Max USD/GBP=,Nb of working days
10/1988,0.5762430000000001,0.561753,0.590472,21
9/1988,0.593949,0.586155,0.6020399999999999,22
8/1988,0.589065,0.5820390000000001,0.594917,23
7/1988,0.5864590000000001,0.575734,0.601689,21
6/1988,0.5610109999999999,0.547218,0.585958,22
5/1988,0.5348109999999999,0.528958,0.542135,22
4/1988,0.5331100000000001,0.527977,0.542875,21
3/1988,0.54651,0.531997,0.5659770000000001,23
2/1988,0.5693090000000001,0.5646720000000001,0.573936,21
1/1988,0.5537850000000001,0.532884,0.564847,21
12/1987,0.546986,0.534291,0.557457,23
11/1987,0.563513,0.5460430000000001,0.578091,21
10/1987,0.6021029999999999,0.581575,0.616171,22
9/1987,0.6081880000000001,0.602824,0.6151300000000001,22
8/1987,0.626423,0.61345,0.638352,21
7/1987,0.621263,0.613554,0.6276729999999999,23
6/1987,0.613244,0.600101,0.62879,22
5/1987,0.599945,0.5922689999999999,0.619117,21
4/1987,0.613478,0.598955,0.627835,22
3/1987,0.6281140000000001,0.61703,0.642646,22
2/1987,0.655231,0.647572,0.663934,20
1/1987,0.6645989999999999,0.6474840000000001,0.6810579999999999,22
12/1986,0.696185,0.677417,0.703993,23
11/1986,0.702278,0.695014,0.708363,20
10/1986,0.700535,0.691508,0.713704,23
9/1986,0.67915,0.665287,0.696154,22
8/1986,0.672773,0.665013,0.678662,21
7/1986,0.662586,0.6466189999999999,0.678914,23
6/1986,0.663362,0.653373,0.6787880000000001,21
5/1986,0.6571819999999999,0.6457470000000001,0.674847,22
4/1986,0.668324,0.645971,0.687825,22
3/1986,0.681114,0.666459,0.696362,21
2/1986,0.699735,0.671277,0.731125,20
1/1986,0.7016720000000001,0.687381,0.72244,23
12/1985,0.692198,0.667289,0.704444,22
11/1985,0.694736,0.6740010000000001,0.707224,21
10/1985,0.703154,0.692825,0.7125600000000001,23
9/1985,0.7340220000000001,0.6948,0.7686,21
8/1985,0.721583,0.71155,0.74744,22
7/1985,0.726399,0.699548,0.768302,23
6/1985,0.781255,0.762446,0.7927310000000001,20
5/1985,0.8016270000000001,0.777641,0.843458,23
4/1985,0.807524,0.7749020000000001,0.8347100000000001,22
3/1985,0.894766,0.804421,0.944414,21
2/1985,0.9119959999999999,0.8864209999999999,0.958023,20
1/1985,0.884531,0.8612860000000001,0.89895,23
12/1984,0.8438209999999999,0.824845,0.8612860000000001,21
11/1984,0.804821,0.782523,0.8367690000000001,22
10/1984,0.819775,0.800928,0.842634,23
9/1984,0.794166,0.766025,0.8228989999999999,20
8/1984,0.761548,0.753151,0.7687930000000001,23
